date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:05:13	87/87	---MCZ	200	added ('OK')	text/plain	etag:W/%2247-5b6d36d9b96e3-gzip-gzip%22	https://www.online-python.com/robots.txt		(from )
06:05:13	48556/48556	---MCZ	200	added ('OK')	text/html	date:Wed,%2017%20May%202023%2010:05:13%20GMT	https://www.online-python.com/	C:/My%20Web%20Sites/VentanaCompilador/www.online-python.com/index.html	(from )
06:05:14	673/673	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2017%20May%202023%2010:05:14%20GMT	https://www.online-python.com/detroitchicago/boise.js	C:/My%20Web%20Sites/VentanaCompilador/www.online-python.com/detroitchicago/boise.js	(from https://www.online-python.com/)
06:05:14	673/673	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2017%20May%202023%2010:05:14%20GMT	https://www.online-python.com/detroitchicago/boise.js?gcb=195-0&cb=2	C:/My%20Web%20Sites/VentanaCompilador/www.online-python.com/detroitchicago/boise420f.js	(from https://www.online-python.com/)
06:05:14	5607/5607	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2017%20May%202023%2010:05:14%20GMT	https://www.online-python.com/detroitchicago/memphis.js	C:/My%20Web%20Sites/VentanaCompilador/www.online-python.com/detroitchicago/memphis.js	(from https://www.online-python.com/)
06:05:14	5607/5607	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2017%20May%202023%2010:05:14%20GMT	https://www.online-python.com/detroitchicago/memphis.js?gcb=195-0&cb=23	C:/My%20Web%20Sites/VentanaCompilador/www.online-python.com/detroitchicago/memphisd472.js	(from https://www.online-python.com/)
06:05:15	749/749	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2017%20May%202023%2010:05:14%20GMT	https://www.online-python.com/detroitchicago/minneapolis.js	C:/My%20Web%20Sites/VentanaCompilador/www.online-python.com/detroitchicago/minneapolis.js	(from https://www.online-python.com/)
06:05:15	749/749	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2017%20May%202023%2010:05:15%20GMT	https://www.online-python.com/detroitchicago/minneapolis.js?gcb=195-0&cb=4	C:/My%20Web%20Sites/VentanaCompilador/www.online-python.com/detroitchicago/minneapolis453e.js	(from https://www.online-python.com/)
06:05:15	2175/2175	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2017%20May%202023%2010:05:15%20GMT	https://www.online-python.com/detroitchicago/rochester.js	C:/My%20Web%20Sites/VentanaCompilador/www.online-python.com/detroitchicago/rochester.js	(from https://www.online-python.com/)
06:05:15	2175/2175	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2017%20May%202023%2010:05:15%20GMT	https://www.online-python.com/detroitchicago/rochester.js?gcb=195-0&cb=13	C:/My%20Web%20Sites/VentanaCompilador/www.online-python.com/detroitchicago/rochester9620.js	(from https://www.online-python.com/)
06:05:16	1404/1404	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2017%20May%202023%2010:05:16%20GMT	https://www.online-python.com/detroitchicago/raleigh.js	C:/My%20Web%20Sites/VentanaCompilador/www.online-python.com/detroitchicago/raleigh.js	(from https://www.online-python.com/)
06:05:16	1404/1404	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2017%20May%202023%2010:05:16%20GMT	https://www.online-python.com/detroitchicago/raleigh.js?gcb=195-0&cb=6	C:/My%20Web%20Sites/VentanaCompilador/www.online-python.com/detroitchicago/raleigh2693.js	(from https://www.online-python.com/)
06:05:16	723/723	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2017%20May%202023%2010:05:16%20GMT	https://www.online-python.com/detroitchicago/tampa.js	C:/My%20Web%20Sites/VentanaCompilador/www.online-python.com/detroitchicago/tampa.js	(from https://www.online-python.com/)
06:05:17	723/723	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2017%20May%202023%2010:05:17%20GMT	https://www.online-python.com/detroitchicago/tampa.js?gcb=195-0&cb=5	C:/My%20Web%20Sites/VentanaCompilador/www.online-python.com/detroitchicago/tampa45f7.js	(from https://www.online-python.com/)
06:05:17	12940/12940	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2017%20May%202023%2010:05:17%20GMT	https://www.online-python.com/detroitchicago/tulsa.js	C:/My%20Web%20Sites/VentanaCompilador/www.online-python.com/detroitchicago/tulsa.js	(from https://www.online-python.com/)
06:05:17	12940/12940	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2017%20May%202023%2010:05:17%20GMT	https://www.online-python.com/detroitchicago/tulsa.js?gcb=195-0&cb=7	C:/My%20Web%20Sites/VentanaCompilador/www.online-python.com/detroitchicago/tulsa1fee.js	(from https://www.online-python.com/)
06:05:17	5858/5858	---MCZ	200	added ('OK')	image/webp	etag:%227405-5b6d36d9b96e3-gzip%22	https://www.online-python.com/logo.png	C:/My%20Web%20Sites/VentanaCompilador/www.online-python.com/logo.png	(from https://www.online-python.com/)
